N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

begin header for RandD1_TiN_2july2014_Aposn_like18mar2013Aposn [ Wed, 7/2/2014 07:03:29.8933 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

begin header for RandD1_TiN_2july2014_Aposn_like18mar2013Aposn [ Wed, 7/2/2014 07:42:23.2996 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Wed, 7/2/2014 07:42:24.0183 AM ]
sweeping platen back and forth 940.0 times at 2.00051282051 RPM
starting sweep 0 of 940 [ Wed, 7/2/2014 07:42:24.0339 AM ]
starting sweep 1 of 940 [ Wed, 7/2/2014 07:42:24.7527 AM ]
starting sweep 2 of 940 [ Wed, 7/2/2014 07:42:25.4714 AM ]
starting sweep 3 of 940 [ Wed, 7/2/2014 07:42:26.1746 AM ]
starting sweep 4 of 940 [ Wed, 7/2/2014 07:42:26.8933 AM ]
starting sweep 5 of 940 [ Wed, 7/2/2014 07:42:27.5964 AM ]
starting sweep 6 of 940 [ Wed, 7/2/2014 07:42:28.3152 AM ]
starting sweep 7 of 940 [ Wed, 7/2/2014 07:42:29.0339 AM ]
starting sweep 8 of 940 [ Wed, 7/2/2014 07:42:29.7371 AM ]
starting sweep 9 of 940 [ Wed, 7/2/2014 07:42:30.4558 AM ]
starting sweep 10 of 940 [ Wed, 7/2/2014 07:42:31.1746 AM ]
starting sweep 11 of 940 [ Wed, 7/2/2014 07:42:31.8777 AM ]
starting sweep 12 of 940 [ Wed, 7/2/2014 07:42:32.5964 AM ]
starting sweep 13 of 940 [ Wed, 7/2/2014 07:42:33.2996 AM ]
starting sweep 14 of 940 [ Wed, 7/2/2014 07:42:34.0183 AM ]
starting sweep 15 of 940 [ Wed, 7/2/2014 07:42:34.7371 AM ]
starting sweep 16 of 940 [ Wed, 7/2/2014 07:42:35.4402 AM ]
starting sweep 17 of 940 [ Wed, 7/2/2014 07:42:36.1589 AM ]
starting sweep 18 of 940 [ Wed, 7/2/2014 07:42:36.8777 AM ]
starting sweep 19 of 940 [ Wed, 7/2/2014 07:42:37.5808 AM ]
starting sweep 20 of 940 [ Wed, 7/2/2014 07:42:38.2996 AM ]
starting sweep 21 of 940 [ Wed, 7/2/2014 07:42:39.0183 AM ]
starting sweep 22 of 940 [ Wed, 7/2/2014 07:42:39.7214 AM ]
starting sweep 23 of 940 [ Wed, 7/2/2014 07:42:40.4402 AM ]
starting sweep 24 of 940 [ Wed, 7/2/2014 07:42:41.1433 AM ]
starting sweep 25 of 940 [ Wed, 7/2/2014 07:42:41.8621 AM ]
starting sweep 26 of 940 [ Wed, 7/2/2014 07:42:42.5808 AM ]
starting sweep 27 of 940 [ Wed, 7/2/2014 07:42:43.2996 AM ]
starting sweep 28 of 940 [ Wed, 7/2/2014 07:42:44.0027 AM ]
starting sweep 29 of 940 [ Wed, 7/2/2014 07:42:44.7214 AM ]
starting sweep 30 of 940 [ Wed, 7/2/2014 07:42:45.4402 AM ]
starting sweep 31 of 940 [ Wed, 7/2/2014 07:42:46.1589 AM ]
starting sweep 32 of 940 [ Wed, 7/2/2014 07:42:46.8621 AM ]
starting sweep 33 of 940 [ Wed, 7/2/2014 07:42:47.5808 AM ]
starting sweep 34 of 940 [ Wed, 7/2/2014 07:42:48.2996 AM ]
starting sweep 35 of 940 [ Wed, 7/2/2014 07:42:49.0027 AM ]
starting sweep 36 of 940 [ Wed, 7/2/2014 07:42:49.7214 AM ]
