N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

begin header for RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate [ Tue, 9/30/2014 09:23:58.2826 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

begin header for RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate [ Tue, 9/30/2014 09:57:12.7982 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 9/30/2014 09:57:13.4076 AM ]
sweeping platen back and forth 1393.0 times at 2.00020512821 RPM
starting sweep 0 of 1393 [ Tue, 9/30/2014 09:57:13.4544 AM ]
starting sweep 1 of 1393 [ Tue, 9/30/2014 09:57:14.1732 AM ]
starting sweep 2 of 1393 [ Tue, 9/30/2014 09:57:14.8919 AM ]
starting sweep 3 of 1393 [ Tue, 9/30/2014 09:57:15.6107 AM ]
starting sweep 4 of 1393 [ Tue, 9/30/2014 09:57:16.3607 AM ]
starting sweep 5 of 1393 [ Tue, 9/30/2014 09:57:17.0794 AM ]
starting sweep 6 of 1393 [ Tue, 9/30/2014 09:57:17.7982 AM ]
starting sweep 7 of 1393 [ Tue, 9/30/2014 09:57:18.5169 AM ]
starting sweep 8 of 1393 [ Tue, 9/30/2014 09:57:19.2357 AM ]
starting sweep 9 of 1393 [ Tue, 9/30/2014 09:57:19.9544 AM ]
starting sweep 10 of 1393 [ Tue, 9/30/2014 09:57:20.6576 AM ]
starting sweep 11 of 1393 [ Tue, 9/30/2014 09:57:21.3763 AM ]
starting sweep 12 of 1393 [ Tue, 9/30/2014 09:57:22.0951 AM ]
starting sweep 13 of 1393 [ Tue, 9/30/2014 09:57:22.8138 AM ]
starting sweep 14 of 1393 [ Tue, 9/30/2014 09:57:23.5169 AM ]
starting sweep 15 of 1393 [ Tue, 9/30/2014 09:57:24.2357 AM ]
starting sweep 16 of 1393 [ Tue, 9/30/2014 09:57:24.9544 AM ]
starting sweep 17 of 1393 [ Tue, 9/30/2014 09:57:25.6732 AM ]
starting sweep 18 of 1393 [ Tue, 9/30/2014 09:57:26.3919 AM ]
starting sweep 19 of 1393 [ Tue, 9/30/2014 09:57:27.0951 AM ]
starting sweep 20 of 1393 [ Tue, 9/30/2014 09:57:27.8138 AM ]
starting sweep 21 of 1393 [ Tue, 9/30/2014 09:57:28.5326 AM ]
starting sweep 22 of 1393 [ Tue, 9/30/2014 09:57:29.2357 AM ]
starting sweep 23 of 1393 [ Tue, 9/30/2014 09:57:29.9544 AM ]
