N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.275
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_3sept2013_Run1_Aposn

begin header for RandD1_TiN_3sept2013_Run1_Aposn [ Tue, 9/3/2013 07:25:25.3281 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.275
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_3sept2013_Run1_Aposn

begin header for RandD1_TiN_3sept2013_Run1_Aposn [ Tue, 9/3/2013 07:42:28.6093 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.275
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_3sept2013_Run1_Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 9/3/2013 07:42:29.2656 AM ]
sweeping platen back and forth 1418.0 times at 1.99974358974 RPM
starting sweep 0 of 1418 [ Tue, 9/3/2013 07:42:29.2812 AM ]
starting sweep 1 of 1418 [ Tue, 9/3/2013 07:42:29.9843 AM ]
starting sweep 2 of 1418 [ Tue, 9/3/2013 07:42:30.7031 AM ]
starting sweep 3 of 1418 [ Tue, 9/3/2013 07:42:31.4218 AM ]
starting sweep 4 of 1418 [ Tue, 9/3/2013 07:42:32.1250 AM ]
starting sweep 5 of 1418 [ Tue, 9/3/2013 07:42:32.8281 AM ]
starting sweep 6 of 1418 [ Tue, 9/3/2013 07:42:33.5468 AM ]
starting sweep 7 of 1418 [ Tue, 9/3/2013 07:42:34.2500 AM ]
starting sweep 8 of 1418 [ Tue, 9/3/2013 07:42:34.9687 AM ]
starting sweep 9 of 1418 [ Tue, 9/3/2013 07:42:35.6875 AM ]
starting sweep 10 of 1418 [ Tue, 9/3/2013 07:42:36.4062 AM ]
starting sweep 11 of 1418 [ Tue, 9/3/2013 07:42:37.1093 AM ]
starting sweep 12 of 1418 [ Tue, 9/3/2013 07:42:37.8281 AM ]
starting sweep 13 of 1418 [ Tue, 9/3/2013 07:42:38.5312 AM ]
starting sweep 14 of 1418 [ Tue, 9/3/2013 07:42:39.2500 AM ]
starting sweep 15 of 1418 [ Tue, 9/3/2013 07:42:39.9687 AM ]
starting sweep 16 of 1418 [ Tue, 9/3/2013 07:42:40.6718 AM ]
starting sweep 17 of 1418 [ Tue, 9/3/2013 07:42:41.3906 AM ]
starting sweep 18 of 1418 [ Tue, 9/3/2013 07:42:42.0937 AM ]
starting sweep 19 of 1418 [ Tue, 9/3/2013 07:42:42.8125 AM ]
starting sweep 20 of 1418 [ Tue, 9/3/2013 07:42:43.5156 AM ]
starting sweep 21 of 1418 [ Tue, 9/3/2013 07:42:44.2343 AM ]
starting sweep 22 of 1418 [ Tue, 9/3/2013 07:42:44.9375 AM ]
starting sweep 23 of 1418 [ Tue, 9/3/2013 07:42:45.6562 AM ]
starting sweep 24 of 1418 [ Tue, 9/3/2013 07:42:46.3750 AM ]
starting sweep 25 of 1418 [ Tue, 9/3/2013 07:42:47.0937 AM ]
starting sweep 26 of 1418 [ Tue, 9/3/2013 07:42:47.7968 AM ]
starting sweep 27 of 1418 [ Tue, 9/3/2013 07:42:48.5156 AM ]
starting sweep 28 of 1418 [ Tue, 9/3/2013 07:42:49.2187 AM ]
starting sweep 29 of 1418 [ Tue, 9/3/2013 07:42:49.9375 AM ]
starting sweep 30 of 1418 [ Tue, 9/3/2013 07:42:50.6406 AM ]
starting sweep 31 of 1418 [ Tue, 9/3/2013 07:42:51.3593 AM ]
starting sweep 32 of 1418 [ Tue, 9/3/2013 07:42:52.0781 AM ]
starting sweep 33 of 1418 [ Tue, 9/3/2013 07:42:52.7968 AM ]
starting sweep 34 of 1418 [ Tue, 9/3/2013 07:42:53.5000 AM ]
starting sweep 35 of 1418 [ Tue, 9/3/2013 07:42:54.2187 AM ]
starting sweep 36 of 1418 [ Tue, 9/3/2013 07:42:54.9218 AM ]
starting sweep 37 of 1418 [ Tue, 9/3/2013 07:42:55.6406 AM ]
starting sweep 38 of 1418 [ Tue, 9/3/2013 07:42:56.3437 AM ]
starting sweep 39 of 1418 [ Tue, 9/3/2013 07:42:57.0625 AM ]
starting sweep 40 of 1418 [ Tue, 9/3/2013 07:42:57.7656 AM ]
starting sweep 41 of 1418 [ Tue, 9/3/2013 07:42:58.4843 AM ]
starting sweep 42 of 1418 [ Tue, 9/3/2013 07:42:59.2031 AM ]
starting sweep 43 of 1418 [ Tue, 9/3/2013 07:42:59.9062 AM ]
starting sweep 44 of 1418 [ Tue, 9/3/2013 07:43:00.6250 AM ]
starting sweep 45 of 1418 [ Tue, 9/3/2013 07:43:01.3281 AM ]
starting sweep 46 of 1418 [ Tue, 9/3/2013 07:43:02.0468 AM ]
starting sweep 47 of 1418 [ Tue, 9/3/2013 07:43:02.7500 AM ]
starting sweep 48 of 1418 [ Tue, 9/3/2013 07:43:03.4687 AM ]
starting sweep 49 of 1418 [ Tue, 9/3/2013 07:43:04.1875 AM ]
starting sweep 50 of 1418 [ Tue, 9/3/2013 07:43:04.8906 AM ]
starting sweep 51 of 1418 [ Tue, 9/3/2013 07:43:05.5937 AM ]
starting sweep 52 of 1418 [ Tue, 9/3/2013 07:43:06.3125 AM ]
starting sweep 53 of 1418 [ Tue, 9/3/2013 07:43:07.0156 AM ]
starting sweep 54 of 1418 [ Tue, 9/3/2013 07:43:07.7343 AM ]
starting sweep 55 of 1418 [ Tue, 9/3/2013 07:43:08.4375 AM ]
starting sweep 56 of 1418 [ Tue, 9/3/2013 07:43:09.1562 AM ]
starting sweep 57 of 1418 [ Tue, 9/3/2013 07:43:09.8593 AM ]
starting sweep 58 of 1418 [ Tue, 9/3/2013 07:43:10.5781 AM ]
starting sweep 59 of 1418 [ Tue, 9/3/2013 07:43:11.2812 AM ]
starting sweep 60 of 1418 [ Tue, 9/3/2013 07:43:12.0000 AM ]
starting sweep 61 of 1418 [ Tue, 9/3/2013 07:43:12.7187 AM ]
starting sweep 62 of 1418 [ Tue, 9/3/2013 07:43:13.4218 AM ]
starting sweep 63 of 1418 [ Tue, 9/3/2013 07:43:14.1250 AM ]
starting sweep 64 of 1418 [ Tue, 9/3/2013 07:43:14.8281 AM ]
starting sweep 65 of 1418 [ Tue, 9/3/2013 07:43:15.5468 AM ]
starting sweep 66 of 1418 [ Tue, 9/3/2013 07:43:16.2656 AM ]
starting sweep 67 of 1418 [ Tue, 9/3/2013 07:43:16.9687 AM ]
starting sweep 68 of 1418 [ Tue, 9/3/2013 07:43:17.6718 AM ]
starting sweep 69 of 1418 [ Tue, 9/3/2013 07:43:18.3906 AM ]
starting sweep 70 of 1418 [ Tue, 9/3/2013 07:43:19.1093 AM ]
starting sweep 71 of 1418 [ Tue, 9/3/2013 07:43:19.8125 AM ]
starting sweep 72 of 1418 [ Tue, 9/3/2013 07:43:20.5156 AM ]
starting sweep 73 of 1418 [ Tue, 9/3/2013 07:43:21.2343 AM ]
starting sweep 74 of 1418 [ Tue, 9/3/2013 07:43:21.9531 AM ]
starting sweep 75 of 1418 [ Tue, 9/3/2013 07:43:22.6562 AM ]
starting sweep 76 of 1418 [ Tue, 9/3/2013 07:43:23.3906 AM ]
starting sweep 77 of 1418 [ Tue, 9/3/2013 07:43:24.0937 AM ]
starting sweep 78 of 1418 [ Tue, 9/3/2013 07:43:24.7968 AM ]
starting sweep 79 of 1418 [ Tue, 9/3/2013 07:43:25.5156 AM ]
starting sweep 80 of 1418 [ Tue, 9/3/2013 07:43:26.2187 AM ]
starting sweep 81 of 1418 [ Tue, 9/3/2013 07:43:26.9375 AM ]
starting sweep 82 of 1418 [ Tue, 9/3/2013 07:43:27.6406 AM ]
starting sweep 83 of 1418 [ Tue, 9/3/2013 07:43:28.3593 AM ]
starting sweep 84 of 1418 [ Tue, 9/3/2013 07:43:29.0625 AM ]
starting sweep 85 of 1418 [ Tue, 9/3/2013 07:43:29.7656 AM ]
starting sweep 86 of 1418 [ Tue, 9/3/2013 07:43:30.4843 AM ]
starting sweep 87 of 1418 [ Tue, 9/3/2013 07:43:31.1875 AM ]
starting sweep 88 of 1418 [ Tue, 9/3/2013 07:43:31.9218 AM ]
starting sweep 89 of 1418 [ Tue, 9/3/2013 07:43:32.6250 AM ]
starting sweep 90 of 1418 [ Tue, 9/3/2013 07:43:33.3437 AM ]
starting sweep 91 of 1418 [ Tue, 9/3/2013 07:43:34.0468 AM ]
starting sweep 92 of 1418 [ Tue, 9/3/2013 07:43:34.7656 AM ]
starting sweep 93 of 1418 [ Tue, 9/3/2013 07:43:35.4843 AM ]
starting sweep 94 of 1418 [ Tue, 9/3/2013 07:43:36.2031 AM ]
starting sweep 95 of 1418 [ Tue, 9/3/2013 07:43:36.9062 AM ]
starting sweep 96 of 1418 [ Tue, 9/3/2013 07:43:37.6250 AM ]
starting sweep 97 of 1418 [ Tue, 9/3/2013 07:43:38.3281 AM ]
starting sweep 98 of 1418 [ Tue, 9/3/2013 07:43:39.0468 AM ]
starting sweep 99 of 1418 [ Tue, 9/3/2013 07:43:39.7656 AM ]
starting sweep 100 of 1418 [ Tue, 9/3/2013 07:43:40.4843 AM ]
starting sweep 101 of 1418 [ Tue, 9/3/2013 07:43:41.2187 AM ]
starting sweep 102 of 1418 [ Tue, 9/3/2013 07:43:41.9375 AM ]
starting sweep 103 of 1418 [ Tue, 9/3/2013 07:43:42.6406 AM ]
starting sweep 104 of 1418 [ Tue, 9/3/2013 07:43:43.3593 AM ]
starting sweep 105 of 1418 [ Tue, 9/3/2013 07:43:44.0625 AM ]
starting sweep 106 of 1418 [ Tue, 9/3/2013 07:43:44.7812 AM ]
starting sweep 107 of 1418 [ Tue, 9/3/2013 07:43:45.5000 AM ]
starting sweep 108 of 1418 [ Tue, 9/3/2013 07:43:46.2187 AM ]
starting sweep 109 of 1418 [ Tue, 9/3/2013 07:43:46.9218 AM ]
starting sweep 110 of 1418 [ Tue, 9/3/2013 07:43:47.6406 AM ]
starting sweep 111 of 1418 [ Tue, 9/3/2013 07:43:48.3437 AM ]
starting sweep 112 of 1418 [ Tue, 9/3/2013 07:43:49.0625 AM ]
starting sweep 113 of 1418 [ Tue, 9/3/2013 07:43:49.7656 AM ]
starting sweep 114 of 1418 [ Tue, 9/3/2013 07:43:50.4843 AM ]
starting sweep 115 of 1418 [ Tue, 9/3/2013 07:43:51.1875 AM ]
starting sweep 116 of 1418 [ Tue, 9/3/2013 07:43:51.9062 AM ]
