N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn

begin header for RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn [ Mon, 11/4/2013 07:42:08.0761 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn

begin header for RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn [ Mon, 11/4/2013 08:19:01.3261 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Mon, 11/4/2013 08:19:01.9667 AM ]
sweeping platen back and forth 940.0 times at 2.00051282051 RPM
starting sweep 0 of 940 [ Mon, 11/4/2013 08:19:01.9823 AM ]
starting sweep 1 of 940 [ Mon, 11/4/2013 08:19:02.7011 AM ]
starting sweep 2 of 940 [ Mon, 11/4/2013 08:19:03.4042 AM ]
starting sweep 3 of 940 [ Mon, 11/4/2013 08:19:04.1073 AM ]
starting sweep 4 of 940 [ Mon, 11/4/2013 08:19:04.8261 AM ]
starting sweep 5 of 940 [ Mon, 11/4/2013 08:19:05.5448 AM ]
starting sweep 6 of 940 [ Mon, 11/4/2013 08:19:06.2479 AM ]
starting sweep 7 of 940 [ Mon, 11/4/2013 08:19:06.9667 AM ]
starting sweep 8 of 940 [ Mon, 11/4/2013 08:19:07.6698 AM ]
starting sweep 9 of 940 [ Mon, 11/4/2013 08:19:08.3886 AM ]
starting sweep 10 of 940 [ Mon, 11/4/2013 08:19:09.0917 AM ]
starting sweep 11 of 940 [ Mon, 11/4/2013 08:19:09.7948 AM ]
starting sweep 12 of 940 [ Mon, 11/4/2013 08:19:10.5136 AM ]
starting sweep 13 of 940 [ Mon, 11/4/2013 08:19:11.2323 AM ]
starting sweep 14 of 940 [ Mon, 11/4/2013 08:19:11.9354 AM ]
starting sweep 15 of 940 [ Mon, 11/4/2013 08:19:12.6542 AM ]
starting sweep 16 of 940 [ Mon, 11/4/2013 08:19:13.3729 AM ]
starting sweep 17 of 940 [ Mon, 11/4/2013 08:19:14.0917 AM ]
starting sweep 18 of 940 [ Mon, 11/4/2013 08:19:14.8104 AM ]
starting sweep 19 of 940 [ Mon, 11/4/2013 08:19:15.5136 AM ]
starting sweep 20 of 940 [ Mon, 11/4/2013 08:19:16.2167 AM ]
starting sweep 21 of 940 [ Mon, 11/4/2013 08:19:16.9354 AM ]
starting sweep 22 of 940 [ Mon, 11/4/2013 08:19:17.6542 AM ]
starting sweep 23 of 940 [ Mon, 11/4/2013 08:19:18.3573 AM ]
