N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.383
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_5nov2013_Aposn

begin header for RandD1_TiN_5nov2013_Aposn [ Tue, 11/5/2013 10:10:19.7543 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.383
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_5nov2013_Aposn

begin header for RandD1_TiN_5nov2013_Aposn [ Tue, 11/5/2013 10:42:01.7874 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.383
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_5nov2013_Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 11/5/2013 10:42:02.4124 AM ]
sweeping platen back and forth 1018.0 times at 1.99945641026 RPM
starting sweep 0 of 1018 [ Tue, 11/5/2013 10:42:02.4437 AM ]
starting sweep 1 of 1018 [ Tue, 11/5/2013 10:42:03.1624 AM ]
starting sweep 2 of 1018 [ Tue, 11/5/2013 10:42:03.8656 AM ]
starting sweep 3 of 1018 [ Tue, 11/5/2013 10:42:04.5843 AM ]
starting sweep 4 of 1018 [ Tue, 11/5/2013 10:42:05.3031 AM ]
starting sweep 5 of 1018 [ Tue, 11/5/2013 10:42:06.0062 AM ]
starting sweep 6 of 1018 [ Tue, 11/5/2013 10:42:06.7094 AM ]
starting sweep 7 of 1018 [ Tue, 11/5/2013 10:42:07.4282 AM ]
starting sweep 8 of 1018 [ Tue, 11/5/2013 10:42:08.1313 AM ]
starting sweep 9 of 1018 [ Tue, 11/5/2013 10:42:08.8501 AM ]
starting sweep 10 of 1018 [ Tue, 11/5/2013 10:42:09.5688 AM ]
starting sweep 11 of 1018 [ Tue, 11/5/2013 10:42:10.2720 AM ]
starting sweep 12 of 1018 [ Tue, 11/5/2013 10:42:10.9908 AM ]
starting sweep 13 of 1018 [ Tue, 11/5/2013 10:42:11.6939 AM ]
starting sweep 14 of 1018 [ Tue, 11/5/2013 10:42:12.4127 AM ]
starting sweep 15 of 1018 [ Tue, 11/5/2013 10:42:13.1158 AM ]
starting sweep 16 of 1018 [ Tue, 11/5/2013 10:42:13.8346 AM ]
starting sweep 17 of 1018 [ Tue, 11/5/2013 10:42:14.5377 AM ]
starting sweep 18 of 1018 [ Tue, 11/5/2013 10:42:15.2565 AM ]
starting sweep 19 of 1018 [ Tue, 11/5/2013 10:42:15.9596 AM ]
starting sweep 20 of 1018 [ Tue, 11/5/2013 10:42:16.6784 AM ]
starting sweep 21 of 1018 [ Tue, 11/5/2013 10:42:17.3972 AM ]
starting sweep 22 of 1018 [ Tue, 11/5/2013 10:42:18.1003 AM ]
starting sweep 23 of 1018 [ Tue, 11/5/2013 10:42:18.8191 AM ]
starting sweep 24 of 1018 [ Tue, 11/5/2013 10:42:19.5222 AM ]
starting sweep 25 of 1018 [ Tue, 11/5/2013 10:42:20.2410 AM ]
starting sweep 26 of 1018 [ Tue, 11/5/2013 10:42:20.9441 AM ]
starting sweep 27 of 1018 [ Tue, 11/5/2013 10:42:21.6629 AM ]
starting sweep 28 of 1018 [ Tue, 11/5/2013 10:42:22.3660 AM ]
starting sweep 29 of 1018 [ Tue, 11/5/2013 10:42:23.0848 AM ]
starting sweep 30 of 1018 [ Tue, 11/5/2013 10:42:23.7880 AM ]
starting sweep 31 of 1018 [ Tue, 11/5/2013 10:42:24.5067 AM ]
starting sweep 32 of 1018 [ Tue, 11/5/2013 10:42:25.2099 AM ]
